JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458354.690553,167.671731,259143.656250,19.514345
2458354.709843,167.665160,297308.687500,19.365096
2458354.729133,167.658585,219594.562500,19.693981
2458354.748423,167.652005,183590.031250,19.888331
2458354.767713,167.645421,235363.734375,19.618524
2458354.787003,167.638833,202156.609375,19.783573
2458354.806293,167.632240,234808.000000,19.620929
2458354.825583,167.625643,227893.859375,19.653299
2458354.844874,167.619042,251127.187500,19.547816
2458354.864164,167.612437,248111.250000,19.560853
2458354.883454,167.605827,257677.046875,19.519699
2458354.902744,167.599213,223384.921875,19.674673
2458354.922034,167.592594,283333.750000,19.416481
2458354.941324,167.585972,290695.000000,19.388552
2458354.960614,167.579345,195746.468750,19.817830
2458354.979904,167.572713,202794.234375,19.779345
2458354.999195,167.566078,231503.984375,19.635507
2458355.018485,167.559438,206861.968750,19.757621
2458355.037775,167.552794,217829.093750,19.701452
2458355.057065,167.546146,242727.718750,19.583863
2458355.076355,167.539493,246823.734375,19.565613
2458355.095645,167.532837,272641.906250,19.457518
2458355.114935,167.526175,197323.375000,19.808472
2458355.134225,167.519510,281528.593750,19.422531
2458355.153515,167.512841,318509.718750,19.288450
2458355.172806,167.506167,214179.031250,19.719233
2458355.192096,167.499489,196392.156250,19.813284
2458355.211386,167.492807,241248.625000,19.589852
2458355.230676,167.486121,201129.125000,19.787245
2458355.249966,167.479430,236941.000000,19.609251
2458355.269256,167.472735,252631.062500,19.539554
2458355.288546,167.466037,272725.968750,19.456374
2458355.307836,167.459333,270936.531250,19.463440
2458355.327127,167.452626,231699.796875,19.633214
2458355.346417,167.445915,247128.187500,19.563141
2458355.365707,167.439199,297804.468750,19.360538
2458355.384997,167.432479,265381.125000,19.485610
2458355.404287,167.425755,195196.156250,19.819026
2458355.423577,167.419027,233648.031250,19.623717
2458355.442867,167.412295,222914.718750,19.674695
2458355.462157,167.405559,241241.078125,19.588832
2458355.481448,167.398818,234240.453125,19.620725
2458355.500738,167.392073,256738.687500,19.521070
2458355.520028,167.385324,256898.468750,19.520313
2458355.539318,167.378571,270258.031250,19.465190
2458355.558608,167.371814,216845.359375,19.704180
2458355.577898,167.365053,289859.281250,19.389006
2458355.597188,167.358288,324371.875000,19.266785
2458355.616478,167.351518,217742.468750,19.699454
2458355.635769,167.344745,208030.343750,19.748914
2458355.655059,167.337967,249553.437500,19.551240
2458355.674349,167.331186,212449.750000,19.725928
2458355.693639,167.324400,232877.125000,19.626170
2458355.712929,167.317610,268758.968750,19.470498
2458355.732219,167.310816,267427.093750,19.475811
2458355.751509,167.304018,287791.031250,19.396050
2458355.770799,167.297216,217583.625000,19.699597
2458355.790090,167.290410,283100.187500,19.413731
2458355.809380,167.283599,324932.562500,19.264017
2458355.828670,167.276785,232218.281250,19.628677
2458355.847960,167.269967,207129.281250,19.752733
2458355.867250,167.263145,250726.875000,19.545254
2458355.886540,167.256318,220321.625000,19.685532
2458355.905830,167.249488,258577.234375,19.511618
2458355.925120,167.242653,257537.578125,19.515911
2458355.944411,167.235815,282048.906250,19.417120
2458355.963701,167.228972,279594.437500,19.426528
2458355.982991,167.222126,262541.437500,19.494774
2458356.002281,167.215275,241552.734375,19.585157
2458356.021571,167.208421,305833.906250,19.328891
2458356.040861,167.201562,308535.375000,19.319262
2458356.060151,167.194699,215416.531250,19.709245
2458356.079441,167.187833,230830.703125,19.634128
2458356.098732,167.180962,245704.296875,19.566248
2458356.118022,167.174088,234549.734375,19.616611
2458356.137312,167.167209,243054.171875,19.577860
2458356.156602,167.160327,274671.968750,19.445000
2458356.175892,167.153440,272042.500000,19.455363
2458356.195182,167.146550,281622.437500,19.417705
2458356.214472,167.139656,214348.593750,19.713990
2458356.233762,167.132757,300890.156250,19.345690
2458356.253053,167.125855,345364.156250,19.195936
2458356.272343,167.118949,231211.421875,19.631524
2458356.291633,167.112039,218312.812500,19.693768
2458356.310923,167.105125,257781.390625,19.513255
2458356.330213,167.098207,222117.765625,19.674845
2458356.349503,167.091285,257377.421875,19.514795
2458356.368793,167.084359,281958.562500,19.415677
2458356.388083,167.077429,298810.406250,19.352569
2458356.407374,167.070495,303116.750000,19.336952
2458356.426664,167.063558,236352.109375,19.606997
2458356.445954,167.056616,276565.406250,19.436319
2458356.465244,167.049671,329377.906250,19.246496
2458356.484534,167.042721,280145.125000,19.422193
2458356.503824,167.035768,221894.203125,19.675204
2458356.523114,167.028811,258604.671875,19.508897
2458356.542404,167.021850,236617.468750,19.605289
2458356.561695,167.014885,268270.781250,19.468891
2458356.580985,167.007917,262046.187500,19.494298
2458356.600275,167.000944,286701.187500,19.396587
2458356.619565,166.993968,285883.625000,19.399606
2458356.638855,166.986987,279857.906250,19.422654
2458356.658145,166.980003,239512.078125,19.591598
2458356.677435,166.973015,309033.093750,19.314822
2458356.696725,166.966023,346710.250000,19.189836
2458356.716015,166.959028,237975.203125,19.598342
2458356.735306,166.952028,236653.875000,19.604306
2458356.754596,166.945025,260833.796875,19.498598
2458356.773886,166.938018,233679.750000,19.617873
