JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458358.683608,166.226080,306722.531250,19.314429
2458358.702898,166.218711,307293.093750,19.312328
2458358.722188,166.211339,307909.312500,19.310071
2458358.741478,166.203964,308099.218750,19.309318
2458358.760769,166.196585,308964.218750,19.306192
2458358.780059,166.189203,309389.375000,19.304616
2458358.799349,166.181818,309500.187500,19.304145
2458358.818639,166.174429,310209.781250,19.301576
2458358.837929,166.167037,310995.000000,19.298748
2458358.857219,166.159641,311281.343750,19.297666
2458358.876509,166.152242,311896.031250,19.295442
2458358.895799,166.144840,312294.968750,19.293971
2458358.915090,166.137434,312684.250000,19.292536
2458358.934380,166.130025,312945.937500,19.291545
2458358.953670,166.122613,313891.218750,19.288188
2458358.972960,166.115197,314361.000000,19.286481
2458358.992250,166.107778,314875.718750,19.284622
2458359.011540,166.100355,315286.812500,19.283123
2458359.030830,166.092929,315754.468750,19.281431
2458359.050120,166.085500,316348.906250,19.279306
2458359.069411,166.078067,316797.218750,19.277685
2458359.088701,166.070632,317470.031250,19.275299
2458359.107991,166.063192,317884.812500,19.273799
2458359.127281,166.055750,317885.250000,19.273715
2458359.146571,166.048304,318843.031250,19.270365
2458359.165861,166.040855,319451.000000,19.268214
2458359.185151,166.033402,319980.781250,19.266332
2458359.204441,166.025946,320488.875000,19.264527
2458359.223732,166.018487,321038.343750,19.262584
2458359.243022,166.011025,321329.812500,19.261516
2458359.262312,166.003559,321541.218750,19.260719
2458359.281602,165.996090,322645.500000,19.256914
2458359.300892,165.988617,322952.625000,19.255798
2458359.320182,165.981142,323555.906250,19.253689
2458359.339472,165.973663,324057.156250,19.251925
2458359.358762,165.966181,324629.687500,19.249925
2458359.378053,165.958695,324965.531250,19.248720
2458359.397343,165.951206,325618.375000,19.246458
2458359.416633,165.943714,326064.593750,19.244888
2458359.435923,165.936219,326678.125000,19.242764
2458359.455213,165.928720,326865.875000,19.242057
2458359.474503,165.921218,327480.562500,19.239934
2458359.493793,165.913713,328315.093750,19.237088
2458359.513083,165.906205,328801.343750,19.235398
2458359.532374,165.898693,329350.437500,19.233504
2458359.551664,165.891178,329868.281250,19.231715
2458359.570954,165.883660,330054.593750,19.231019
2458359.590244,165.876139,330588.812500,19.229180
2458359.609534,165.868614,331383.687500,19.226489
2458359.628824,165.861086,331764.687500,19.225159
2458359.648114,165.853555,332467.750000,19.222777
2458359.667404,165.846021,332886.656250,19.221327
2458359.686695,165.838483,333321.375000,19.219827
2458359.705985,165.830942,333697.000000,19.218521
2458359.725275,165.823398,334568.500000,19.215606
2458359.744565,165.815851,334846.125000,19.214622
2458359.763855,165.808301,335627.937500,19.212007
2458359.783145,165.800747,335994.093750,19.210740
2458359.802435,165.793190,336573.031250,19.208788
2458359.821725,165.785630,337181.906250,19.206743
2458359.841015,165.778067,337487.000000,19.205677
2458359.860306,165.770500,338266.437500,19.203090
